Term,Frequency
additional,524
described,521
focus,520
spinal,516
location,514
vats,513
ultrasound,509
gas,508
narrowing,504
followup,504
check,502
time,500
yo,500
bronch,496
gallbladder,494
studies,493
satisfactory,492
trachea,490
embolism,488
sinuses,487
extending,485
nonsmall,485
inferior,483
representing,483
marked,482
overall,481
better,480
including,480
extremity,480
magnevist,476
retrocardiac,475
abd,473
distress,473
tiny,470
overlying,468
signal,468
lul,467
primary,465
available,463
thoracotomy,462
service,459
significantly,457
abnormal,456
site,450
multiplanar,449
cancersda,449
foci,448
spleen,447
nodular,446
hydropneumothorax,446
less,444
hematoma,443
vasogenic,442
ho,441
non,441
bladder,440
vena,439
bibasilar,438
wire,438
greater,438
expected,437
needle,437
sheath,436
pt,433
aspect,433
abnormality,433
cervical,430
tracheostomy,430
vs,428
suggestive,426
terminating,426
paratracheal,425
ventricles,424
airway,423
component,423
matter,422
cava,422
rll,421
colon,421
continued,420
several,419
difficult,418
decrease,417
vessels,413
stem,413
still,412
craniotomy,411
kidneys,411
cxr,411
series,406
partial,404
axillary,400
cavity,400
enlargement,399
rule,399
occipital,393
mental,392
windows,392
abnormalities,390
cells,390
drain,389
calcification,388
thrombus,388
extent,387
back,386
costophrenic,386
imaged,383
none,383
adenopathy,382
question,381
ivc,381
normally,379
infiltrates,379
pattern,378
partially,378
multifocal,378
pancreas,375
hydrocephalus,375
hilum,372
suggest,372
infarct,371
standard,370
bases,370
represents,366
major,366
stenosis,365
postsurgical,364
calcified,361
angle,360
loops,360
compatible,358
aerated,358
tissues,358
pulm,357
degree,357
outside,357
suggesting,357
versus,356
bronchi,356
tracheal,354
probable,354
surgery,354
distinct,353
though,352
sclerotic,352
coronary,352
clips,351
possibly,351
contiguous,350
french,348
acquired,348
wedge,347
comparisons,347
infectious,346
smaller,344
dyspnea,344
attenuation,343
thoracentesis,342
prominence,341
medial,341
procedural,339
guidance,339
remaining,337
paranasal,337
would,337
superimposed,336
shows,334
congestion,333
short,331
largest,329
infarction,329
cardiomegaly,328
filling,328
lumbar,327
evaluated,327
dense,327
noncoronary,326
crecons,326
located,325
mastoid,325
radiation,325
diaphragm,325
elevation,325
access,323
scattered,323
atrium,320
lines,320
atherosclerotic,319
persists,319
airspace,318
nodulesda,318
hepatic,315
reformatted,315
mdct,313
gadolinium,313
sulci,313
cyst,312
fluoroscopic,311
motion,311
reviewed,311
using,308
bleeding,307
overload,306
us,305
sinus,305
perform,304
pigtail,303
subcarinal,303
current,303
gland,302
near,302
temporal,301
date,301
filter,300
elevated,300
fistula,299
oral,297
weakness,297
diffusion,296
vasculature,296
somewhat,296
levels,295
linear,295
layering,295
development,295
subsegmental,294
today,294
herniation,294
feeding,293
apparent,293
esophagus,292
segmental,292
expansion,291
diameter,291
peripheral,290
arterial,290
age,290
canal,289
cerebral,286
pathology,286
involvement,285
assessment,285
cough,285
ascites,285
positioning,284
obstructive,284
rounded,284
resolution,283
branches,282
pelvic,282
mildly,282
ischemic,280
contour,279
lingula,279
extends,278
correlation,278
addition,278
portions,277
brachiocephalic,276
heterogeneous,276
recons,275
collapsed,275
pls,274
lll,274
relatively,274
combination,272
dilatation,271
thyroid,269
mainstem,269
newly,269
three,269
sedation,268
administered,267
drainage,266
semiupright,265
markings,265
either,265
reflect,265
reexpansion,265
total,264
ngt,264
swelling,263
little,263
volumes,263
water,262
hypotension,262
esophageal,261
inlet,261
dilated,260
preop,259
congestive,259
fractures,259
hx,259
torso,259
ext,258
via,258
embolization,258
bony,258
illdefined,257
telephonefax,257
appropriate,256
vessel,256
parenchyma,255
presence,255
high,255
allowing,255
concern,255
ventricular,254
bed,254
sterile,253
hypodensity,253
window,252
essentially,251
doppler,251
nonionic,251
glands,250
resp,250
altered,250
material,249
etiology,249
postop,249
secretions,249
days,248
flair,248
syndrome,248
hemisphere,247
mon,247
iliac,246
used,245
positioned,245
f,244
hemorrhagic,243
md,243
mesenteric,243
tweighted,243
consolidations,242
andor,242
groundglass,242
fri,242
abscess,242
spread,242
superficial,242
spiculated,241
ionic,241
predominantly,240
caliber,240
carotid,239
regions,239
quadrant,238
ni,238
fourth,237
recurrent,237
disc,236
seal,235
adenocarcinoma,235
lumen,235
ends,234
hydronephrosis,234
origin,234
radiologist,234
complications,234
pathologic,234
second,233
results,230
embolus,229
projecting,228
retroperitoneal,228
numerous,227
setting,227
nonspecific,227
airways,227
provided,226
stage,225
leftward,225
causing,224
differences,224
finding,224
larger,223
lucency,222
squamous,222
products,222
sepsis,221
local,221
done,221
appreciated,221
wed,220
completely,220
fossa,220
pneumocephalus,220
og,219
hernia,219
show,219
fissure,218
popliteal,218
films,218
yesterday,218
staging,218
confluent,217
information,216
obstructing,216
course,216
fields,216
aneurysm,216
possibility,215
rml,215
arch,214
defect,214
remainder,214
cvl,213
med,213
tue,213
distended,212
asymmetric,212
skin,212
clinically,211
additionally,210
tachycardia,209
third,209
sigmoid,209
basilic,207
artifact,206
confirm,206
uptake,205
least,205
lymphangitic,204
included,204
rightward,204
neoplasm,204
hypodense,204
rectum,203
alveolar,202
swallow,201
attending,201
protocol,201
sternotomy,200
airfluid,200
extraaxial,200
occlusion,200
evident,199
thorax,199
cysts,199
fall,198
markedly,198
onset,197
entire,196
periventricular,196
incompletely,195
assessed,195
projects,195
anesthesia,195
dissection,194
successful,194
see,194
suggests,194
obscured,194
arm,194
malignant,194
characterize,193
towards,193
good,192
considered,192
recently,192
op,191
scarring,191
follow,191
osh,191
leg,190
endobronchial,190
needs,189
min,188
configuration,188
blunting,188
hemothorax,188
pole,188
hyperdense,188
cpt,187
deep,187
detected,186
addl,186
codes,186
worsened,186
improving,186
lingular,185
per,185
reformations,185
cystic,184
trace,183
cabg,182
mod,182
interpretation,182
cavitary,181
necrotic,181
sat,181
differential,181
preserved,181
emphysematous,180
brachial,180
found,180
stroke,179
posteriorly,179
resolved,179
extension,177
trach,177
immediate,176
particularly,176
thrombosis,176
fat,176
characterized,175
laterally,174
initials,174
th,174
atelectatic,173
ago,173
cerebellum,172
pneumo,172
indications,172
intraabdominal,172
emboli,172
appreciable,170
fdg,170
tracer,169
repeat,169
color,169
minimally,169
bilat,169
bodies,169
widening,168
pulled,168
prostate,168
telephone,168
urinary,168
densities,167
apices,167
direct,167
mra,166
reformats,166
wires,166
exclude,165
pacemaker,164
fusion,164
maxillary,164
need,164
desaturation,164
swanganz,164
signs,164
augmentation,164
invasion,163
epidural,163
margin,162
admitted,162
dependent,162
developed,162
compressibility,161
simple,161
developing,160
cath,160
foley,160
supraclavicular,159
pet,159
pathologically,159
around,158
diagnosed,158
contains,158
reconstructions,158
intermedius,158
approach,158
ischemia,157
met,157
septal,157
rt,157
subtle,156
minor,156
territorial,156
tumorsda,156
moderately,155
mucosal,155
system,155
descending,155
opacified,155
gastric,154
guidewire,154
portal,154
dictation,154
might,154
dobbhoff,154
ground,153
bedside,153
gauge,153
thin,153
presents,153
requirement,153
extubation,153
review,152
recommend,152
lidocaine,152
moderatesized,152
guid,152
call,152
informed,151
inflammatory,150
glass,150
exchanged,150
hazy,149
fashion,149
trauma,148
source,148
version,148
fevers,148
preoperative,147
empyema,147
worrisome,147
sternal,147
prepped,147
cisterns,147
leak,147
consent,147
effacement,146
rigid,146
transferred,146
injection,146
sonname,146
upon,145
length,145
gi,144
reconstruction,144
differentiation,143
communicated,143
fu,143
centrilobular,143
titles,143
prevascular,142
axis,142
cavoatrial,142
tortuous,142
support,142
susceptibility,141
lack,141
use,141
seizure,141
multilevel,140
draped,140
minutes,140
inguinal,140
border,140
oxygen,140
masssda,140
stranding,139
irregular,139
cholecystitis,139
subsequent,139
great,139
presenting,138
barium,138
tamponade,138
diverticulitis,138
progressive,137
continues,137
defects,137
bx,137
inserted,136
therapy,136
absence,135
order,135
pw,135
demonstrating,135
cardiopulmonary,134
fibrosis,134
angiography,134
mildtomoderate,134
conclusion,134
neural,133
biliary,133
pod,133
intercostal,133
clot,133
median,132
part,132
ribs,132
insertion,132
sequences,132
corresponding,131
distention,131
substantial,131
tsurg,131
infarcts,131
skull,130
extubated,130
phase,130
indicated,130
infrahilar,129
hypodensities,129
dobhoff,128
unilat,128
myocardial,128
suspected,128
intact,127
helpful,127
early,127
preliminary,127
inferiorly,127
distribution,127
presumably,127
deformity,126
hip,126
fully,126
branch,126
waterseal,126
b,126
intra,126
perfusion,126
anteriorly,126
coiled,125
atrophy,125
multidetector,125
worse,125
ileus,125
placment,124
transverse,124
narrowed,124
collections,124
pleura,124
vascularity,123
visible,123
mprage,123
guided,123
examinations,123
lies,122
tolerated,121
echo,121
zones,121
sun,121
defined,121
unable,120
diffusely,120
destruction,120
type,120
blastic,120
passes,120
leftsda,120
include,120
subdiaphragmatic,120
beyond,120
pneumomediastinum,119
duct,119
based,119
cortical,118
widespread,118
shifted,118
bones,118
correlate,118
preceding,117
ards,117
unclear,117
suprahilar,117
obtain,116
subcentimeter,116
timeout,116
followed,116
table,115
next,115
delayed,115
end,115
much,115
arrest,114
reintubation,114
postcontrast,114
pneumonitis,113
positions,113
poor,113
criteria,113
planning,113
petct,113
subarachnoid,113
lobar,113
includes,113
questionable,113
ich,113
compressive,112
unit,112
progressed,112
nsurg,111
periphery,111
crani,111
infiltration,111
hilus,111
hyperintensity,111
neoplastic,111
punctate,110
operative,110
micropuncture,110
highly,110
unknown,110
angiogram,110
innumerable,109
discrete,109
currently,109
cause,109
external,108
dominant,108
hiatal,108
addendum,108
groin,108
clearly,108
sats,108
despite,108
top,108
preexisting,108
st,108
rapid,107
obvious,107
medially,107
centrally,107
omnipaque,107
relative,107
ge,107
almost,107
smalltomoderate,106
hypertension,106
bronchopleural,106
ml,106
team,106
ethmoid,106
redemonstrated,105
immediately,105
precarinal,105
measure,105
todays,105
courses,105
difficulty,104
erect,104
staples,104
risks,104
consult,104
gross,104
atrial,104
entirely,104
hypoattenuating,104
sutures,104
diverticulosis,103
occluded,103
indicating,103
fx,103
icu,103
intraperitoneal,103
p,103
leptomeningeal,103
superiorly,103
centered,102
gastrointestinal,102
pancreatic,102
cad,102
chemo,101
decreasing,101
cirrhosis,101
relevant,101
subdural,101
abutting,101
compare,101
replacement,101
mucous,101
radiographic,101
ganglia,101
reflecting,101
ready,100
pleurodesis,100
confirmed,100
plaque,100
mi,100
engorgement,100
reveal,100
reduction,100
rotation,99
indicate,99
pressure,99
cephalic,99
overlies,99
phone,99
haziness,99
ms,99
sized,99
necrosis,98
subcortical,98
foraminal,98
fluoroscopy,98
vent,98
filled,98
foramen,98
thick,98
dedicated,98
intensity,98
leads,98
applied,97
adrenals,97
sbo,97
hila,97
presented,97
hiv,97
tips,96
scoliosis,96
best,96
video,96
nearly,96
duodenum,96
paramediastinal,96
tspine,95
reported,95
balloon,95
revised,95
grayscale,95
uterus,95
peelaway,95
sleeve,94
background,94
attention,94
four,94
fullness,94
bronchograms,94
suggestion,94
monitoring,94
devices,94
drop,94
requiring,94
lobulated,93
presumed,93
surface,92
hypoxic,92
intraparenchymal,92
vomiting,92
sensitive,92
peg,92
benefits,92
rulobectomy,92
symphysis,92
arteriogram,91
stenting,91
injury,91
point,91
except,91
mdctacquired,91
rim,91
solid,91
redistribution,91
pubic,91
rotated,91
evd,91
oblique,90
stones,90
reference,90
indeterminate,90
suggested,90
repositioning,90
reflects,90
colitis,90
thanks,90
tailored,89
splenic,89
nature,89
pronounced,89
poorly,89
cholelithiasis,89
foot,89
cva,89
evolving,89
helical,88
intraventricular,88
stents,88
reticular,88
resulting,88
nausea,88
hemispheres,88
mediastinoscopy,88
pericardium,87
details,87
displacement,87
thickened,87
height,87
preprocedure,87
xrt,87
peripherally,87
sch,87
gallstones,87
enhanced,86
long,86
cspine,86
alignment,86
bulky,86
bolus,86
diffusionweighted,86
subsequently,86
pancoast,86
priors,85
dating,85
causes,85
collapseconsolidation,85
nodal,85
occlusive,85
hear,85
atypical,85
morning,85
sparing,84
sac,84
explained,84
transcription,84
persist,84
interim,84
listen,84
relate,84
intraluminal,84
largely,84
hour,84
intrahepatic,84
supply,84
extremities,84
fluoro,84
uncertain,84
tree,84
sequence,83
cortex,83
waveforms,83
radline,83
dimension,83
structure,83
paged,83
subfalcine,82
conglomerate,82
tt,82
hardware,82
treatment,82
supervising,82
continuous,82
month,82
substantially,82
data,82
appearing,82
joint,81
intrathoracic,81
dx,81
another,81
celiac,81
effusionleft,81
rij,81
chemotherapy,81
pleurx,81
v,81
restricted,81
sclc,81
approved,80
reduced,80
apparently,80
sphenoid,80
repositioned,80
gradient,80
deviation,80
wound,80
anemia,80
activity,80
destructive,79
oropharyngeal,79
fundus,79
speech,79
count,78
microvascular,78
plugging,78
processes,78
conjunction,78
showed,78
orbits,78
spaces,78
leukocytosis,77
perforation,77
portacath,77
measured,77
scanning,77
swan,77
whether,77
cp,77
example,77
submitted,77
segments,76
reintubated,76
radiologists,76
withdrawn,76
usual,76
displayed,76
scc,76
masslike,76
thecal,76
afib,76
clearing,76
contrastenhanced,76
containing,76
longer,76
appearances,76
ventriculostomy,76
thickness,76
components,76
generated,76
vertex,76
overt,75
fatty,75
decubitus,75
like,75
sounds,75
breast,75
dc,75
ureters,75
significance,75
terminate,74
micu,74
carcinoid,74
wand,74
exacerbation,74
especially,74
metallic,74
observed,74
complicated,74
taken,74
sclerosis,74
active,74
bifurcation,74
resolving,74
massive,74
mucus,73
sel,73
tachypnea,73
extrinsic,73
tracking,73
past,73
replaced,73
achieved,73
potential,72
ogt,72
flushed,72
borderline,72
cv,72
raises,72
ductal,72
formation,71
dilation,71
agram,71
satellite,71
projection,71
tract,71
desat,71
perc,70
obliteration,70
wbc,70
pacer,70
double,70
unusual,70
heterogeneously,70
bulge,70
loculation,70
therefore,70
axilla,70
ascending,70
complex,70
reveals,70
repeated,70
margins,69
peribronchial,69
infrarenal,69
patency,69
specifically,69
written,69
device,69
parietooccipital,69
clamped,69
ipf,69
cb,69
sulcus,68
suboccipital,68
full,68
spot,68
postgadolinium,68
close,68
shoulder,68
refer,68
moderatetolarge,68
uneventful,68
hypoattenuation,68
cts,67
lesser,67
shunt,67
slow,67
tension,67
suite,67
placements,67
antibiotics,67
brought,67
expanded,67
exams,67
faa,67
carcinomatosis,67
consolidative,67
tibial,67
excretion,67
six,67
swallowing,66
hyperdensity,66
pretracheal,66
ventilation,66
sudden,66
supplying,66
consider,66
invading,66
bullous,66
lowattenuation,66
rightsda,66
catheters,66
marrow,66
scale,66
open,65
obscuring,65
bl,65
obscuration,65
stereotactic,65
characterization,65
drains,65
crackles,65
penetration,65
trunk,65
cholecystectomy,65
enlarging,65
nodularity,65
hypoxemia,65
sputum,65
pic,65
plctreplctremove,65
rather,64
radiopaque,64
encasement,64
optimal,64
fa,64
dural,64
hyperintense,64
biapical,64
dressing,64
mixed,64
suction,64
bypass,64
hyperinflated,64
incidental,64
detail,64
colonic,64
plane,63
corresponds,63
segmentectomy,63
distally,63
appeared,63
weighted,63
voids,63
widely,63
ctguided,63
anatomy,63
fentanyl,63
facet,63
five,63
dfddp,63
hole,63
detailed,62
displaced,62
le,62
request,62
avid,62
heparin,62
valve,62
peroneal,62
semierect,62
atelectasisconsolidation,62
tl,62
take,62
breathing,62
convexity,62
visualization,61
seed,61
attempt,61
embo,61
slice,61
monitored,61
cuff,61
majority,61
nerve,61
sicub,61
round,61
elsewhere,61
projected,61
mostly,61
grade,61
potentially,61
reaccumulation,60
debridement,60
occurred,60
chnage,60
laryngeal,60
situ,60
liquids,60
orogastric,60
whole,60
vocal,60
baseline,60
evolution,60
paracostasl,60
failed,60
moderatetosevere,60
bronchiectasis,60
artifacts,60
requested,60
coursing,60
subpulmonic,60
coarse,60
sacrum,59
po,59
output,59
scans,59
extravasation,59
skeletal,59
cavitation,59
pneumoperitoneum,59
postradiation,59
ill,59
nurse,59
comment,59
lt,59
bile,59
widened,59
retained,58
graft,58
extend,58
hemostasis,58
suboptimal,58
completion,58
mci,58
repair,58
tuberculosis,58
pericardiocentesis,58
sixth,58
drs,58
dynamic,57
pneumothoraces,57
secured,57
thoracolumbar,57
ls,57
even,57
look,57
functional,57
nonhemorrhagic,57
encasing,57
enhance,57
helically,57
neutropenia,57
infarctioncath,57
rest,57
uncomplicated,57
lead,57
stool,56
anasarca,56
hematocrit,56
display,56
gastroesophageal,56
required,56
week,56
venogram,56
diagnostic,56
co,56
plaques,56
puncture,56
showing,56
femur,56
ams,56
infiltrative,56
technical,56
dimensions,55
te,55
osteomyelitis,55
sitting,55
indicative,55
adenoca,55
rimenhancing,55
vertebra,55
mg,55
comments,55
confusion,55
hemodynamic,55
opacifications,55
event,55
lad,55
tcage,55
g,55
must,54
motor,54
continuously,54
atrophic,54
appreciably,54
stone,54
suture,54
homogeneous,54
versed,54
suitable,54
projections,54
febrile,54
gastrostomy,54
subacute,54
fiducial,54
collimation,54
adequate,53
determine,53
organ,53
retropulsion,53
saturation,53
extrahepatic,53
aneurysmal,53
lymphoma,53
needed,53
organs,53
sc,53
core,53
localization,53
bilobectomy,53
diminished,53
borders,53
spin,53
doses,53
percutaneous,53
nonocclusive,52
contusion,52
paraspinal,52
skeleton,52
whiteout,52
visceral,52
generalized,52
shock,52
midlung,52
thank,52
project,52
cranial,52
urine,52
duplex,52
symptoms,52
septic,52
staff,52
asses,52
inner,52
burden,52
ica,52
inspiration,52
greatest,52
endplate,52
accompanied,52
symmetric,51
etc,51
pocket,51
subpleural,51
interlobular,51
precontrast,51
ed,51
chain,51
planes,51
record,51
carinal,51
conspicuous,51
plain,51
j,51
tr,51
lspine,51
markers,51
stir,51
accessed,51
indwelling,51
distortion,51
dl,50
vague,50
cleared,50
dvts,50
csf,50
consistencies,50
nsclca,50
aside,50
inflammation,50
infusion,50
sign,50
selective,50
iii,50
proper,50
supratentorial,50
divided,50
movement,50
severely,50
warranted,50
regarding,50
half,50
pedicle,50
inr,50
fifth,50
limitations,49
scout,49
ptitle,49
abrupt,49
reassess,49
stat,49
gadavist,49
get,49
talc,49
territory,49
result,49
function,49
loop,49
pharyngeal,49
anticoagulation,49
reconstructed,49
irregularity,49
diverticula,49
mca,49
microcatheter,49
attempted,48
coils,48
wide,48
dfdkq,48
consideration,48
encases,48
silhouettes,48
decompression,48
compressible,48
routine,48
dialysis,48
plug,48
gadolin,48
hard,48
pancreatitis,48
lowdensity,48
unenhanced,47
pes,47
angiographic,47
cytology,47
craniectomy,47
flap,47
pons,47
humeral,47
lucencies,47
parameters,47
obscures,47
route,47
mammary,47
postprocedure,47
abuts,47
plactment,47
respectively,47
tracheobronchial,47
mcg,47
plcmt,47
passed,47
fr,47
raising,47
whose,47
perhaps,47
decompressed,47
weeks,47
lobectomies,46
hemangioma,46
alternatively,46
ruq,46
able,46
nearcomplete,46
treated,46
arising,46
accumulation,46
symmetrically,46
incomplete,46
negative,46
pleuralbased,46
uncal,46
lap,46
attempts,46
flex,46
ekg,46
joints,46
positive,46
hrs,45
resident,45
calf,45
vertebroplasty,45
far,45
complication,45
mural,45
correct,45
ventilator,45
dw,45
peritoneal,45
determined,45
pull,45
exposure,45
sequelae,45
osteophyte,45
cistern,45
caring,45
analysis,44
dual,44
ystent,44
knee,44
acquisition,44
meet,44
ligament,44
pleurex,44
gtube,44
facial,44
arf,44
healed,44
intrinsic,44
explaining,44
multiprocedure,44
prepared,44
benign,43
circulation,43
cut,43
eo,43
injected,43
flush,43
referring,43
retention,43
involves,43
humerus,43
frontoparietal,43
clavicle,43
airfilled,43
roughly,43
features,43
xrays,43
wrvr,43
knob,43
hct,43
embolized,43
notable,42
inability,42
risk,42
undergone,42
appendix,42
analyzed,42
considerations,42
consolidated,42
aflutter,42
antecubital,42
diseasepneumonia,42
intestinal,42
episode,42
page,42
circle,42
stemi,42
hyperinflation,42
tsicu,42
initially,42
dashboard,42
bacteremia,42
ray,42
suspicion,42
bronchogenic,42
perf,42
transition,42
gallstone,42
circumferential,42
aspirated,42
considerable,42
completed,41
separate,41
floor,41
concurrent,41
stump,41
reactive,41
extreme,41
tortuosity,41
sent,41
directed,41
intervertebral,41
suv,41
lulobectomy,41
residue,41
angles,41
retraction,41
cavernous,41
ir,41
statuspost,41
centrum,41
amenable,41
unsuccessful,41
case,41
occupying,41
nodulessda,40
dilator,40
bronchoalveolar,40
intravenously,40
diarrhea,40
foreign,40
si,40
neuro,40
introducer,40
connected,40
vas,40
exophytic,40
distension,40
septum,40
pathological,40
semiovale,40
aortogram,40
infratentorial,40
contralateral,40
encephalomalacia,40
diaphragmatic,40
alternatives,40
resportory,40
inflated,40
streak,40
magnum,40
station,40
ipsilateral,40
embolis,40
cage,40
desaturations,40
frank,39
seventh,39
adenoma,39
advancement,39
primarily,39
ureter,39
pneumonic,39
glidewire,39
lymphatic,39
accounting,39
involved,39
torsion,39
rising,39
ventral,39
typical,39
asbestos,39
wean,39
compressed,39
vertebrae,39
faint,39
intraservice,39
cutoff,39
gramfilter,39
ajy,39
clavicular,38
dcd,38
bronchovascular,38
cca,38
fairly,38
hep,38
ex,38
granulomatous,38
element,38
fast,38
sicua,38
hypercarbic,38
retracted,38
muscle,38
coumadin,38
streaky,38
interpolar,38
incidentally,38
narrows,38
closure,38
temporoparietal,38
omed,38
osteophytes,38
remote,38
doublelumen,38
meningitis,38
intraoperative,37
tail,37
intervention,37
rue,37
correspond,37
mrsa,37
units,37
perihepatic,37
cw,37
adjustment,37
inc,37
maximal,37
agerelated,37
noon,37
across,37
ankle,37
lfts,37
lacunar,37
ulcers,37
recurrence,37
detection,37
nonsmallcell,37
pericholecystic,37
utipyelonephritis,36
pneumoniamass,36
supervised,36
accurately,36
appropriately,36
gold,36
asymmetrical,36
rd,36
chronicity,36
wheezing,36
max,36
freely,36
granuloma,36
collecting,36
diaphragms,36
measurements,36
embospheres,36
equina,36
advised,36
screws,36
path,36
entering,36
fdgavid,36
laminectomy,36
ringenhancing,36
excision,36
proximally,36
clavicles,36
hypoechoic,36
saddle,36
echogenic,36
definitively,36
technically,35
extrapleural,35
paraaortic,35
notably,35
latter,35
reaction,35
cauda,35
burr,35
osteolytic,35
power,35
aaa,35
micron,35
impaction,35
rate,35
bronchoscopic,35
unresponsive,35
pacu,35
enya,35
persistence,35
mesentery,35
weaning,35
redemonstration,35
correlated,35
mapping,35
curvilinear,35
pleuritic,35
response,35
limiting,35
heavy,35
manual,35
ending,35
convex,35
absent,35
nd,35
admission,35
administering,35
guide,35
overnight,35
htn,34
workup,34
query,34
reformation,34
hounsfield,34
tb,34
osteopenia,34
hypotensive,34
acutely,34
pockets,34
lungmediastinal,34
